College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Internship_Experience_Yes,Placement_Yes
29,107.0,6.61,6.28,8,8,8,4,0,0
60,97.0,5.52,5.37,8,7,8,0,0,0
35,109.0,5.36,5.83,9,3,1,1,0,0
54,122.0,5.47,5.75,6,1,6,1,1,0
3,96.0,7.91,7.69,7,8,10,2,0,0
14,96.0,5.26,5.32,7,5,8,0,0,0
70,123.0,6.68,6.58,5,7,8,2,0,1
95,111.0,8.77,8.76,7,3,1,2,0,1
96,92.0,6.47,6.33,9,7,8,5,0,0
56,108.0,8.82,8.6,4,5,9,1,0,0
62,93.0,8.73,8.9,2,5,6,0,1,0
76,93.0,6.23,6.51,8,5,7,4,0,0
63,103.0,8.64,9.01,7,8,6,1,1,0
16,71.0,8.74,8.4,6,0,5,2,0,0
52,74.0,6.99,7.31,7,0,1,2,0,0
39,91.0,6.05,5.8,3,4,2,3,0,0
69,84.0,7.61,7.54,6,0,10,0,0,0
49,104.0,9.61,10.01,10,9,2,4,1,0
67,86.0,8.2,8.15,7,8,9,4,0,1
14,78.0,5.86,5.56,7,3,6,2,1,0
71,121.0,8.41,8.07,5,1,3,3,1,1
33,96.0,7.14,7.11,3,2,3,3,1,0
29,101.0,7.96,8.22,2,8,10,0,1,0
86,78.0,8.67,9.17,7,10,10,2,1,1
72,91.0,7.57,7.86,4,7,2,2,1,0
23,101.0,9.07,9.45,2,2,7,2,0,0
7,82.0,8.61,8.86,8,7,1,0,0,0
56,105.0,8.08,8.48,2,3,1,4,0,0
69,90.0,5.75,5.33,6,5,10,1,1,0
24,95.0,9.18,9.61,4,3,3,3,1,0
76,90.0,9.68,9.58,9,10,1,4,1,0
33,127.0,5.68,6.1,5,4,3,1,0,0
24,99.0,7.44,7.02,4,9,9,4,0,0
17,84.0,6.29,6.51,8,8,7,4,0,0
72,112.0,8.77,9.01,3,1,9,4,1,1
96,81.0,8.61,9.11,9,8,7,4,1,0
69,103.0,5.7,5.97,8,2,9,2,1,0
13,70.0,9.39,9.27,8,4,3,4,0,0
5,80.0,5.9,5.96,10,6,7,1,1,0
81,102.0,8.99,8.86,5,1,6,1,0,0
89,111.0,7.28,6.98,1,3,2,3,0,0
35,102.0,6.64,6.39,10,0,6,5,0,0
35,98.0,5.79,5.51,9,10,3,0,0,0
74,95.0,5.84,5.89,2,2,2,1,1,0
17,77.0,8.31,8.72,1,5,5,1,1,0
14,89.0,7.75,8.16,6,1,5,1,1,0
93,93.0,5.61,5.16,1,7,2,1,1,0
88,115.0,5.56,5.14,10,6,3,0,1,0
15,105.0,5.36,5.11,10,2,8,0,0,0
75,73.0,8.72,8.48,10,0,5,5,1,0
13,104.0,8.56,8.15,7,9,8,4,0,1
46,94.0,5.29,5.18,7,3,10,5,1,0
53,89.0,7.8,7.89,1,3,4,1,1,0
57,109.0,5.42,5.5,10,10,4,1,0,0
76,115.0,9.52,9.56,5,4,6,3,0,1
29,113.0,9.54,9.38,3,2,10,3,0,1
99,87.0,8.49,8.7,2,10,5,3,0,0
45,95.0,9.63,9.96,5,1,5,3,0,0
15,104.0,9.06,8.91,5,1,9,4,0,1
0,114.0,9.14,8.73,2,7,6,2,1,1
40,92.0,7.85,7.65,6,6,3,3,0,0
92,97.0,6.53,6.17,7,0,4,3,0,0
26,83.0,6.09,6.06,1,8,9,0,0,0
76,82.0,6.64,6.3,3,2,6,5,0,0
61,112.0,8.14,8.1,4,2,8,1,0,1
80,120.0,5.86,5.58,2,0,7,4,0,0
27,98.0,6.29,6.53,10,10,1,1,1,0
19,115.0,7.34,6.87,5,3,1,2,1,0
54,105.0,6.17,6.22,4,9,10,4,0,0
50,90.0,7.94,7.61,2,10,7,2,0,0
68,105.0,9.62,9.12,1,1,2,1,1,0
87,123.0,8.74,9.11,8,2,9,0,0,1
72,99.0,8.33,8.5,2,10,10,3,0,1
96,123.0,7.91,7.51,4,0,9,1,0,0
33,60.0,7.44,7.6,10,2,2,4,1,0
26,112.0,5.93,6.04,5,3,9,3,0,1
96,101.0,9.47,9.44,2,5,9,4,0,1
37,95.0,6.24,6.16,10,2,10,2,0,0
28,101.0,5.46,5.85,9,10,6,4,1,0
34,70.0,8.75,8.5,2,5,5,0,0,0
19,96.0,5.88,5.78,6,1,10,2,0,0
18,105.0,6.86,6.69,7,10,2,5,0,0
4,122.0,5.14,5.41,6,7,6,5,0,0
24,92.0,5.69,6.11,4,4,9,1,0,0
92,87.0,5.87,6.22,1,0,3,3,0,0
25,92.0,5.27,5.57,2,5,3,3,0,0
50,113.0,8.28,8.77,10,2,4,0,0,0
65,104.0,9.19,9.39,10,3,10,4,1,1
60,92.0,6.87,7.12,6,9,4,1,0,0
14,107.0,9.37,9.85,8,7,1,5,1,0
44,101.0,6.07,5.58,3,7,2,4,1,0
5,114.0,6.63,6.76,7,10,6,5,0,0
57,89.0,5.75,5.99,9,7,5,4,0,0
0,95.0,8.1,8.52,4,4,10,0,1,0
72,94.0,7.1,7.48,7,0,4,5,0,0
42,78.0,8.07,8.41,7,8,10,2,0,1
15,104.0,8.81,9.26,10,10,9,5,0,1
13,103.0,7.73,7.77,9,8,2,2,1,0
73,100.0,8.14,7.65,3,7,8,0,0,0
18,96.0,9.68,9.19,1,10,4,0,1,0
50,78.0,6.5,6.54,8,2,9,0,1,0
7,93.0,6.8,6.74,4,5,4,4,0,0
47,94.0,8.59,8.54,2,6,2,5,0,0
11,87.0,8.06,7.96,5,3,6,5,0,0
69,97.0,5.89,6.31,4,9,9,4,0,0
34,106.0,6.88,6.74,1,6,7,1,1,0
69,128.0,7.34,7.7,7,8,1,0,0,0
5,102.0,7.1,7.5,4,5,9,4,0,0
98,103.0,5.89,5.89,8,1,6,2,1,0
10,98.0,9.62,9.57,9,5,9,5,0,1
37,71.0,8.81,9.07,8,2,2,5,1,0
90,99.0,7.41,7.62,1,6,7,0,0,0
25,100.0,8.4,8.23,8,2,8,2,1,1
27,136.0,9.49,9.09,5,7,8,3,0,1
71,97.0,5.68,5.44,1,10,5,1,1,0
88,104.0,6.25,5.88,9,10,7,3,1,0
82,99.0,7.71,7.5,9,4,7,1,0,0
79,82.0,9.0,8.76,7,2,3,0,0,0
49,117.0,5.18,5.32,7,0,2,5,0,0
57,111.0,9.92,10.37,1,4,5,1,0,0
25,111.0,7.27,7.46,9,9,4,4,0,0
43,86.0,6.8,7.23,1,9,8,2,1,0
14,121.0,6.46,6.74,7,10,5,5,0,0
75,78.0,5.87,6.1,9,2,9,4,0,0
23,108.0,8.96,8.87,9,3,7,0,0,0
76,132.0,9.78,9.6,5,9,1,3,0,1
58,85.0,7.07,7.42,6,3,2,2,0,0
56,91.0,9.76,10.17,2,2,8,0,0,0
16,101.0,9.12,9.07,2,5,10,4,0,1
76,92.0,7.41,6.92,10,5,8,4,0,0
80,76.0,8.37,8.66,9,0,2,1,0,0
0,101.0,7.17,6.96,1,3,7,1,0,0
10,84.0,7.79,7.3,10,0,8,3,1,0
19,107.0,5.29,5.59,5,6,4,1,1,0
30,86.0,8.48,8.5,7,6,3,1,0,0
98,123.0,5.26,5.45,10,5,10,1,1,0
38,88.0,9.09,9.5,6,10,9,3,0,1
62,95.0,9.12,9.16,6,1,2,0,0,0
5,112.0,6.19,6.19,6,3,3,5,0,0
98,81.0,6.62,6.41,8,2,8,2,0,0
27,103.0,7.41,7.22,7,10,2,0,1,0
50,119.0,7.98,8.28,5,7,5,5,0,1
52,75.0,6.44,6.39,10,1,10,5,0,0
43,102.0,7.96,7.62,2,9,8,0,1,0
64,103.0,6.49,6.08,10,1,7,0,0,0
79,111.0,5.28,5.25,6,0,4,4,1,0
11,81.0,5.01,4.97,10,8,10,2,0,0
27,80.0,5.51,5.66,5,2,9,2,0,0
78,107.0,8.96,8.93,4,7,2,4,1,0
71,104.0,9.81,9.45,10,6,7,5,0,0
67,103.0,7.13,7.14,5,0,7,4,0,0
94,105.0,7.56,7.97,9,10,7,5,0,0
29,89.0,5.73,5.39,2,5,7,1,1,0
34,103.0,7.76,7.95,6,7,5,4,0,0
5,104.0,5.72,5.81,9,5,1,3,0,0
84,89.0,8.06,8.31,10,8,4,4,0,0
29,127.0,9.67,9.32,5,9,5,1,1,0
79,107.0,5.98,6.42,6,2,10,4,0,0
62,82.0,8.82,8.94,10,5,4,3,0,0
7,109.0,5.12,5.47,4,9,7,4,1,0
90,85.0,6.88,6.63,5,3,2,5,0,0
32,111.0,5.55,5.79,8,9,2,0,0,0
42,117.0,6.76,7.04,1,2,2,2,1,0
75,87.0,5.87,5.77,1,7,10,3,1,0
42,114.0,6.87,6.75,10,6,3,3,1,0
44,106.0,7.09,7.25,4,6,5,3,1,0
86,112.0,6.5,6.09,10,4,10,5,1,1
53,128.0,8.28,8.52,3,0,9,0,1,1
64,96.0,9.59,9.13,5,5,3,0,1,0
6,88.0,7.0,6.69,10,5,6,2,1,0
35,86.0,5.96,6.12,8,2,6,1,1,0
24,87.0,6.35,5.95,1,4,6,2,0,0
84,98.0,9.27,9.74,5,8,5,3,0,0
36,105.0,7.86,8.23,5,6,2,3,0,0
11,104.0,7.28,7.41,2,7,1,3,1,0
